final_eq,max_dd,min_eq
150267.57606591517,-1742.575025862363,5101.279999999993
157341.3705961749,-967.5416635172296,4966.55999999999
155942.32651857467,-1336.5200000000914,4998.76
147305.93099816356,-2012.2135980554085,4968.519999999997
156671.47717442445,-1399.24706843702,3925.446370299913
144951.43924870132,-853.2000000001426,4994.759999999999
160891.87880544024,-1469.5217819779355,5250.78051328002
151593.67001099364,-1163.8983783133954,4949.07999999999
151110.44553355698,-1544.5202707706048,4997.039999999996
157245.8665090415,-1215.6000000000167,4963.55999999999
143042.44815440808,-1387.1901254773256,5050.799999999994
150697.32026317983,-971.08000000006,4930.039999999998
158698.6340739689,-1056.4422174938663,4993.039999999993
144281.5708167748,-1330.7475089221407,4981.760000000002
161932.1009117101,-948.155469222489,4692.120000000012
148164.69401028313,-1321.4800000000287,4999.760000000001
164308.65869867223,-1328.177759478349,4925.599999999999
137218.18742712744,-1477.4898208591385,4951.520000000001
157975.65097609523,-1219.8284961726022,5008.76
152154.14321221792,-2022.4064997673995,4982.519999999998
119492.69666142295,-1195.92000000002,4929.279999999997
163105.67284553702,-837.8747589182967,4734.01679004846
166627.84253779234,-1614.9032099515462,4956.878999566526
147005.51600687203,-1508.8799999990151,4779.889873281641
159781.09463742786,-1191.2000000000116,4752.239999999971
159163.32906118722,-1162.4000000001543,4892.800000000006
148140.76137588907,-1217.1200000000536,4951.356323745309
166809.244541187,-1789.960000000101,5146.188503462041
148830.07511087236,-1235.400000000016,4992.559999999998
156763.2326415241,-929.4917111681643,4856.965568585546
146610.36213756536,-1538.7137935723877,4994.519999999996
159373.37349473292,-1725.189426925208,4834.72265928514
148192.18126687102,-1600.440000000037,4930.7600000000075
159206.51123770964,-1398.3200000001525,4967.358218022078
128458.32792253408,-970.7384477875312,4794.159999999987
153526.860968107,-1132.6400000000285,4855.663110446205
147104.1185046786,-1006.8455023287715,4944.039999999992
144986.4741081162,-1688.4738113905187,4949.759999999999
158435.5569446752,-1756.4473750553443,4874.886213926043
171356.1155670499,-1391.640000000305,5757.5200000000095
147699.66542071386,-1019.5576769046384,4706.705298059227
141305.73053615345,-1773.6662687009011,4963.319999999993
146405.16939619457,-926.9600000001228,4993.76
147811.28521710614,-1540.443779416324,4996.760000000002
152286.94956557377,-1272.3011232400568,4910.599999999995
160118.58329010603,-1393.230002386641,4779.088649613777
157139.64579061774,-1009.433806078363,4876.15999999999
153350.88985797725,-1067.479999999996,4845.5641115392455
139607.15459969305,-1603.3737292356527,5055.759999999998
143644.16472259318,-1398.600000000013,5099.520000000003
161732.7899814969,-1121.594431414429,4477.729855251173
152441.31134825226,-1255.7511856863894,4625.665724785802
150902.24880134015,-1244.064156381297,4817.119999999988
153948.00867068273,-899.546216575327,4992.760000000001
136895.24898533293,-1092.9343167871261,4040.3456832128672
162744.25101059352,-1361.945447040067,4961.62826898685
159220.56616584002,-1622.2800000001225,6166.086100807181
157896.02319118194,-1137.4400000000169,5141.040000000001
159779.71795035616,-1617.972740199937,4974.28
145232.8364125171,-1312.989080140891,4664.719999999971
162549.69554401585,-1296.1383783131023,4940.199999999982
144083.83683896658,-1184.7828824207863,4898.510176122147
142228.62608531938,-1497.7385698431171,4864.028110591318
156147.74086446757,-1206.9200000000128,4851.1199999999835
161422.4785915517,-765.0057981408027,5031.040000000004
154291.20162484882,-1316.1799614783886,4950.279999999999
155028.7106881032,-1221.0934245459794,4984.079999999992
149506.12687513448,-1097.493243884459,4954.599999999989
162588.76077189893,-1783.6633798101384,4017.9766201898356
159340.98387696146,-1669.6914718812332,4978.520348588089
157050.0034322663,-1539.392809937075,5018.799999999991
